DATETIME,Model,CV val scores,Mean CV val scores,CV train scores,Mean CV train scores,Parameters,Features importance
27-01-2018_18-30-56,lightgb,"[9.100470945510387e-05, 9.583002604512954e-05, 9.93781297417352e-05, 9.513677397384386e-05, 0.00010023880787448764]",9.631768941806001e-05,"[8.940820928647141e-05, 8.932113247006276e-05, 8.932005255579517e-05, 8.93455539081492e-05, 8.927638617842949e-05]",8.93342668797816e-05,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.49, 'num_leaves': 158, 'lambda_l2': 50, 'learning_rate': 0.01, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017, 'max_bin': 255}","{'column': {54: 'same_start', 12: 'fuzz_partial_token_set_ratio', 20: 'jaccard_distance', 50: 'wc_diff_unique', 52: 'wc_diff_unq_stop', 48: 'wc_diff', 36: 'core1', 61: 'q2_neigh', 60: 'q1_neigh', 38: 'core3', 41: 'q1_q2_kcores_ratio', 35: 'q1_q2_intersect', 37: 'core2', 43: 'q1_q2_kcores_diff_normed', 22: 'euclidean_distance', 62: 'common_neigh', 34: 'q2_freq', 23: 'minkowski_distance', 42: 'q1_q2_kcores_diff', 18: 'cosine_distance', 0: 'is_duplicate', 19: 'cityblock_distance', 64: 'clique_size', 33: 'q1_freq', 17: 'norm_wmd', 40: 'q2_kcores', 7: 'len_word_q2', 24: 'braycurtis_distance', 39: 'q1_kcores', 8: 'common_words', 55: 'char_diff', 56: 'char_diff_unq_stop', 58: 'total_unq_words_stop', 63: 'distinct_neigh', 5: 'len_char_q2', 10: 'fuzz_WRatio', 21: 'canberra_distance', 57: 'total_unique_words', 59: 'char_ratio', 16: 'wmd', 49: 'wc_ratio', 6: 'len_word_q1', 14: 'fuzz_token_set_ratio', 44: 'word_match', 51: 'wc_ratio_unique', 53: 'wc_ratio_unique_stop', 29: 'q1_pr', 47: 'jaccard', 26: 'skew_q2vec', 4: 'len_char_q1', 28: 'kur_q2vec', 3: 'diff_len', 27: 'kur_q1vec', 9: 'fuzz_qratio', 15: 'fuzz_token_sort_ratio', 25: 'skew_q1vec', 30: 'q2_pr', 46: 'tfidf_wm_stops', 13: 'fuzz_partial_token_sort_ratio', 2: 'len_q2', 11: 'fuzz_partial_ratio', 45: 'tfidf_wm', 32: 'q2_hash', 1: 'len_q1', 31: 'q1_hash'}, 'importance': {54: 0, 12: 1, 20: 186, 50: 561, 52: 577, 48: 700, 36: 708, 61: 768, 60: 1150, 38: 1249, 41: 1423, 35: 1466, 37: 1590, 43: 1614, 22: 1696, 62: 1900, 34: 1968, 23: 2016, 42: 2131, 18: 2225, 0: 2473, 19: 2689, 64: 2811, 33: 2828, 17: 2928, 40: 3076, 7: 3578, 24: 3659, 39: 3725, 8: 3803, 55: 3962, 56: 3967, 58: 4127, 63: 4164, 5: 4847, 10: 4911, 21: 5034, 57: 5102, 59: 5502, 16: 5559, 49: 5675, 6: 5834, 14: 6408, 44: 6808, 51: 7122, 53: 7286, 29: 8277, 47: 8790, 26: 8862, 4: 8994, 28: 9109, 3: 9326, 27: 9729, 9: 10622, 15: 10773, 25: 10822, 30: 11194, 46: 11389, 13: 11518, 2: 11571, 11: 11918, 45: 12121, 32: 13250, 1: 16040, 31: 16180}}"
27-01-2018_18-39-56,lightgb,"[9.100470945510387e-05, 9.583002604512954e-05, 9.937812974173519e-05, 9.513677397384386e-05, 0.00010023880787448763]",9.631768941806e-05,"[8.940820928647141e-05, 8.932113247006276e-05, 8.932005255579518e-05, 8.93455539081492e-05, 8.92763861784295e-05]",8.93342668797816e-05,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.486, 'num_leaves': 158, 'lambda_l2': 50, 'learning_rate': 0.01, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017, 'max_bin': 255}","{'column': {54: 'same_start', 12: 'fuzz_partial_token_set_ratio', 20: 'jaccard_distance', 50: 'wc_diff_unique', 52: 'wc_diff_unq_stop', 48: 'wc_diff', 36: 'core1', 61: 'q2_neigh', 60: 'q1_neigh', 38: 'core3', 41: 'q1_q2_kcores_ratio', 35: 'q1_q2_intersect', 37: 'core2', 43: 'q1_q2_kcores_diff_normed', 22: 'euclidean_distance', 62: 'common_neigh', 34: 'q2_freq', 23: 'minkowski_distance', 42: 'q1_q2_kcores_diff', 18: 'cosine_distance', 0: 'is_duplicate', 19: 'cityblock_distance', 64: 'clique_size', 33: 'q1_freq', 17: 'norm_wmd', 40: 'q2_kcores', 7: 'len_word_q2', 24: 'braycurtis_distance', 39: 'q1_kcores', 8: 'common_words', 55: 'char_diff', 56: 'char_diff_unq_stop', 58: 'total_unq_words_stop', 63: 'distinct_neigh', 5: 'len_char_q2', 10: 'fuzz_WRatio', 21: 'canberra_distance', 57: 'total_unique_words', 59: 'char_ratio', 16: 'wmd', 49: 'wc_ratio', 6: 'len_word_q1', 14: 'fuzz_token_set_ratio', 44: 'word_match', 51: 'wc_ratio_unique', 53: 'wc_ratio_unique_stop', 29: 'q1_pr', 47: 'jaccard', 26: 'skew_q2vec', 4: 'len_char_q1', 28: 'kur_q2vec', 3: 'diff_len', 27: 'kur_q1vec', 9: 'fuzz_qratio', 15: 'fuzz_token_sort_ratio', 25: 'skew_q1vec', 30: 'q2_pr', 46: 'tfidf_wm_stops', 13: 'fuzz_partial_token_sort_ratio', 2: 'len_q2', 11: 'fuzz_partial_ratio', 45: 'tfidf_wm', 32: 'q2_hash', 1: 'len_q1', 31: 'q1_hash'}, 'importance': {54: 0, 12: 1, 20: 186, 50: 561, 52: 577, 48: 700, 36: 708, 61: 768, 60: 1150, 38: 1249, 41: 1423, 35: 1466, 37: 1590, 43: 1614, 22: 1696, 62: 1900, 34: 1968, 23: 2016, 42: 2131, 18: 2225, 0: 2473, 19: 2689, 64: 2811, 33: 2828, 17: 2928, 40: 3076, 7: 3578, 24: 3659, 39: 3725, 8: 3803, 55: 3962, 56: 3967, 58: 4127, 63: 4164, 5: 4847, 10: 4911, 21: 5034, 57: 5102, 59: 5502, 16: 5559, 49: 5675, 6: 5834, 14: 6408, 44: 6808, 51: 7122, 53: 7286, 29: 8277, 47: 8790, 26: 8862, 4: 8994, 28: 9109, 3: 9326, 27: 9729, 9: 10622, 15: 10773, 25: 10822, 30: 11194, 46: 11389, 13: 11518, 2: 11571, 11: 11918, 45: 12121, 32: 13250, 1: 16040, 31: 16180}}"
27-01-2018_19-02-13,lightgb,"[9.100470945510387e-05, 9.583002604512954e-05, 9.937812974173519e-05, 9.513677397384387e-05, 0.00010023880787448764]",9.631768941806001e-05,"[8.940820928647142e-05, 8.932113247006276e-05, 8.932005255579517e-05, 8.93455539081492e-05, 8.927638617842949e-05]",8.93342668797816e-05,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.48, 'num_leaves': 158, 'lambda_l2': 50, 'learning_rate': 0.01, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017, 'max_bin': 255}","{'column': {54: 'same_start', 12: 'fuzz_partial_token_set_ratio', 20: 'jaccard_distance', 50: 'wc_diff_unique', 52: 'wc_diff_unq_stop', 48: 'wc_diff', 36: 'core1', 61: 'q2_neigh', 60: 'q1_neigh', 38: 'core3', 41: 'q1_q2_kcores_ratio', 35: 'q1_q2_intersect', 37: 'core2', 43: 'q1_q2_kcores_diff_normed', 22: 'euclidean_distance', 62: 'common_neigh', 34: 'q2_freq', 23: 'minkowski_distance', 42: 'q1_q2_kcores_diff', 18: 'cosine_distance', 0: 'is_duplicate', 19: 'cityblock_distance', 64: 'clique_size', 33: 'q1_freq', 17: 'norm_wmd', 40: 'q2_kcores', 7: 'len_word_q2', 24: 'braycurtis_distance', 39: 'q1_kcores', 8: 'common_words', 55: 'char_diff', 56: 'char_diff_unq_stop', 58: 'total_unq_words_stop', 63: 'distinct_neigh', 5: 'len_char_q2', 10: 'fuzz_WRatio', 21: 'canberra_distance', 57: 'total_unique_words', 59: 'char_ratio', 16: 'wmd', 49: 'wc_ratio', 6: 'len_word_q1', 14: 'fuzz_token_set_ratio', 44: 'word_match', 51: 'wc_ratio_unique', 53: 'wc_ratio_unique_stop', 29: 'q1_pr', 47: 'jaccard', 26: 'skew_q2vec', 4: 'len_char_q1', 28: 'kur_q2vec', 3: 'diff_len', 27: 'kur_q1vec', 9: 'fuzz_qratio', 15: 'fuzz_token_sort_ratio', 25: 'skew_q1vec', 30: 'q2_pr', 46: 'tfidf_wm_stops', 13: 'fuzz_partial_token_sort_ratio', 2: 'len_q2', 11: 'fuzz_partial_ratio', 45: 'tfidf_wm', 32: 'q2_hash', 1: 'len_q1', 31: 'q1_hash'}, 'importance': {54: 0, 12: 1, 20: 186, 50: 561, 52: 577, 48: 700, 36: 708, 61: 768, 60: 1150, 38: 1249, 41: 1423, 35: 1466, 37: 1590, 43: 1614, 22: 1696, 62: 1900, 34: 1968, 23: 2016, 42: 2131, 18: 2225, 0: 2473, 19: 2689, 64: 2811, 33: 2828, 17: 2928, 40: 3076, 7: 3578, 24: 3659, 39: 3725, 8: 3803, 55: 3962, 56: 3967, 58: 4127, 63: 4164, 5: 4847, 10: 4911, 21: 5034, 57: 5102, 59: 5502, 16: 5559, 49: 5675, 6: 5834, 14: 6408, 44: 6808, 51: 7122, 53: 7286, 29: 8277, 47: 8790, 26: 8862, 4: 8994, 28: 9109, 3: 9326, 27: 9729, 9: 10622, 15: 10773, 25: 10822, 30: 11194, 46: 11389, 13: 11518, 2: 11571, 11: 11918, 45: 12121, 32: 13250, 1: 16040, 31: 16180}}"
27-01-2018_19-03-54,lightgb,"[9.100470945510387e-05, 9.583002604512954e-05, 9.937812974173519e-05, 9.513677397384387e-05, 0.00010023880787448764]",9.631768941806001e-05,"[8.940820928647142e-05, 8.932113247006276e-05, 8.932005255579517e-05, 8.93455539081492e-05, 8.927638617842949e-05]",8.93342668797816e-05,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.48, 'num_leaves': 158, 'lambda_l2': 50, 'learning_rate': 0.01, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017, 'max_bin': 255}","{'column': {54: 'same_start', 12: 'fuzz_partial_token_set_ratio', 20: 'jaccard_distance', 50: 'wc_diff_unique', 52: 'wc_diff_unq_stop', 48: 'wc_diff', 36: 'core1', 61: 'q2_neigh', 60: 'q1_neigh', 38: 'core3', 41: 'q1_q2_kcores_ratio', 35: 'q1_q2_intersect', 37: 'core2', 43: 'q1_q2_kcores_diff_normed', 22: 'euclidean_distance', 62: 'common_neigh', 34: 'q2_freq', 23: 'minkowski_distance', 42: 'q1_q2_kcores_diff', 18: 'cosine_distance', 0: 'is_duplicate', 19: 'cityblock_distance', 64: 'clique_size', 33: 'q1_freq', 17: 'norm_wmd', 40: 'q2_kcores', 7: 'len_word_q2', 24: 'braycurtis_distance', 39: 'q1_kcores', 8: 'common_words', 55: 'char_diff', 56: 'char_diff_unq_stop', 58: 'total_unq_words_stop', 63: 'distinct_neigh', 5: 'len_char_q2', 10: 'fuzz_WRatio', 21: 'canberra_distance', 57: 'total_unique_words', 59: 'char_ratio', 16: 'wmd', 49: 'wc_ratio', 6: 'len_word_q1', 14: 'fuzz_token_set_ratio', 44: 'word_match', 51: 'wc_ratio_unique', 53: 'wc_ratio_unique_stop', 29: 'q1_pr', 47: 'jaccard', 26: 'skew_q2vec', 4: 'len_char_q1', 28: 'kur_q2vec', 3: 'diff_len', 27: 'kur_q1vec', 9: 'fuzz_qratio', 15: 'fuzz_token_sort_ratio', 25: 'skew_q1vec', 30: 'q2_pr', 46: 'tfidf_wm_stops', 13: 'fuzz_partial_token_sort_ratio', 2: 'len_q2', 11: 'fuzz_partial_ratio', 45: 'tfidf_wm', 32: 'q2_hash', 1: 'len_q1', 31: 'q1_hash'}, 'importance': {54: 0, 12: 1, 20: 186, 50: 561, 52: 577, 48: 700, 36: 708, 61: 768, 60: 1150, 38: 1249, 41: 1423, 35: 1466, 37: 1590, 43: 1614, 22: 1696, 62: 1900, 34: 1968, 23: 2016, 42: 2131, 18: 2225, 0: 2473, 19: 2689, 64: 2811, 33: 2828, 17: 2928, 40: 3076, 7: 3578, 24: 3659, 39: 3725, 8: 3803, 55: 3962, 56: 3967, 58: 4127, 63: 4164, 5: 4847, 10: 4911, 21: 5034, 57: 5102, 59: 5502, 16: 5559, 49: 5675, 6: 5834, 14: 6408, 44: 6808, 51: 7122, 53: 7286, 29: 8277, 47: 8790, 26: 8862, 4: 8994, 28: 9109, 3: 9326, 27: 9729, 9: 10622, 15: 10773, 25: 10822, 30: 11194, 46: 11389, 13: 11518, 2: 11571, 11: 11918, 45: 12121, 32: 13250, 1: 16040, 31: 16180}}"
27-01-2018_19-27-03,lightgb,"[9.071797791438118e-05, 9.551035915360657e-05, 9.907289543706331e-05, 9.482221027198547e-05, 9.991604279814389e-05]",9.60078971150361e-05,"[8.943089298218635e-05, 8.934364271918477e-05, 8.934036840749518e-05, 8.936387583098267e-05, 8.929635111956949e-05]",8.93550262118837e-05,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.486, 'num_leaves': 120, 'lambda_l2': 50, 'learning_rate': 0.01, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017, 'max_bin': 255}","{'column': {54: 'same_start', 12: 'fuzz_partial_token_set_ratio', 20: 'jaccard_distance', 50: 'wc_diff_unique', 52: 'wc_diff_unq_stop', 48: 'wc_diff', 61: 'q2_neigh', 36: 'core1', 60: 'q1_neigh', 38: 'core3', 41: 'q1_q2_kcores_ratio', 35: 'q1_q2_intersect', 22: 'euclidean_distance', 37: 'core2', 43: 'q1_q2_kcores_diff_normed', 23: 'minkowski_distance', 34: 'q2_freq', 18: 'cosine_distance', 62: 'common_neigh', 42: 'q1_q2_kcores_diff', 19: 'cityblock_distance', 17: 'norm_wmd', 0: 'is_duplicate', 33: 'q1_freq', 64: 'clique_size', 40: 'q2_kcores', 24: 'braycurtis_distance', 56: 'char_diff_unq_stop', 55: 'char_diff', 39: 'q1_kcores', 7: 'len_word_q2', 8: 'common_words', 58: 'total_unq_words_stop', 63: 'distinct_neigh', 10: 'fuzz_WRatio', 5: 'len_char_q2', 21: 'canberra_distance', 57: 'total_unique_words', 59: 'char_ratio', 16: 'wmd', 49: 'wc_ratio', 6: 'len_word_q1', 14: 'fuzz_token_set_ratio', 51: 'wc_ratio_unique', 53: 'wc_ratio_unique_stop', 44: 'word_match', 29: 'q1_pr', 26: 'skew_q2vec', 47: 'jaccard', 28: 'kur_q2vec', 3: 'diff_len', 4: 'len_char_q1', 27: 'kur_q1vec', 25: 'skew_q1vec', 9: 'fuzz_qratio', 15: 'fuzz_token_sort_ratio', 13: 'fuzz_partial_token_sort_ratio', 2: 'len_q2', 30: 'q2_pr', 11: 'fuzz_partial_ratio', 46: 'tfidf_wm_stops', 45: 'tfidf_wm', 32: 'q2_hash', 31: 'q1_hash', 1: 'len_q1'}, 'importance': {54: 0, 12: 0, 20: 178, 50: 464, 52: 517, 48: 565, 61: 660, 36: 693, 60: 1032, 38: 1074, 41: 1383, 35: 1400, 22: 1408, 37: 1416, 43: 1498, 23: 1517, 34: 1759, 18: 1817, 62: 1881, 42: 2010, 19: 2158, 17: 2270, 0: 2473, 33: 2514, 64: 2594, 40: 2875, 24: 2924, 56: 3170, 55: 3300, 39: 3411, 7: 3416, 8: 3441, 58: 3603, 63: 3631, 10: 3929, 5: 4081, 21: 4093, 57: 4261, 59: 4368, 16: 4426, 49: 4539, 6: 4783, 14: 5503, 51: 5981, 53: 6292, 44: 6294, 29: 6934, 26: 7179, 47: 7357, 28: 7410, 3: 7520, 4: 7603, 27: 8100, 25: 8790, 9: 8862, 15: 9282, 13: 9445, 2: 9511, 30: 9876, 11: 9877, 46: 9951, 45: 10333, 32: 10631, 31: 12725, 1: 13193}}"
27-01-2018_19-43-48,lightgb,"[9.08968021240727e-05, 9.57143085722637e-05, 9.926108085904113e-05, 9.501631228094978e-05, 0.00010013330435253106]",9.620436163777167e-05,"[8.941648699208433e-05, 8.932861123871456e-05, 8.932904729628782e-05, 8.935056371886628e-05, 8.928379669004024e-05]",8.934170118719863e-05,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.486, 'num_leaves': 140, 'lambda_l2': 50, 'learning_rate': 0.01, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017, 'max_bin': 255}","{'column': {54: 'same_start', 12: 'fuzz_partial_token_set_ratio', 20: 'jaccard_distance', 50: 'wc_diff_unique', 52: 'wc_diff_unq_stop', 48: 'wc_diff', 61: 'q2_neigh', 36: 'core1', 60: 'q1_neigh', 38: 'core3', 41: 'q1_q2_kcores_ratio', 35: 'q1_q2_intersect', 37: 'core2', 22: 'euclidean_distance', 43: 'q1_q2_kcores_diff_normed', 23: 'minkowski_distance', 62: 'common_neigh', 34: 'q2_freq', 18: 'cosine_distance', 42: 'q1_q2_kcores_diff', 0: 'is_duplicate', 19: 'cityblock_distance', 17: 'norm_wmd', 64: 'clique_size', 33: 'q1_freq', 40: 'q2_kcores', 24: 'braycurtis_distance', 39: 'q1_kcores', 8: 'common_words', 7: 'len_word_q2', 55: 'char_diff', 56: 'char_diff_unq_stop', 58: 'total_unq_words_stop', 63: 'distinct_neigh', 10: 'fuzz_WRatio', 5: 'len_char_q2', 21: 'canberra_distance', 57: 'total_unique_words', 59: 'char_ratio', 16: 'wmd', 49: 'wc_ratio', 6: 'len_word_q1', 14: 'fuzz_token_set_ratio', 44: 'word_match', 51: 'wc_ratio_unique', 53: 'wc_ratio_unique_stop', 29: 'q1_pr', 26: 'skew_q2vec', 47: 'jaccard', 4: 'len_char_q1', 28: 'kur_q2vec', 3: 'diff_len', 27: 'kur_q1vec', 9: 'fuzz_qratio', 25: 'skew_q1vec', 15: 'fuzz_token_sort_ratio', 13: 'fuzz_partial_token_sort_ratio', 30: 'q2_pr', 2: 'len_q2', 46: 'tfidf_wm_stops', 11: 'fuzz_partial_ratio', 45: 'tfidf_wm', 32: 'q2_hash', 31: 'q1_hash', 1: 'len_q1'}, 'importance': {54: 0, 12: 0, 20: 180, 50: 537, 52: 566, 48: 647, 61: 706, 36: 713, 60: 1011, 38: 1161, 41: 1413, 35: 1439, 37: 1518, 22: 1584, 43: 1611, 23: 1848, 62: 1900, 34: 1970, 18: 2035, 42: 2062, 0: 2473, 19: 2500, 17: 2674, 64: 2728, 33: 2759, 40: 2986, 24: 3384, 39: 3607, 8: 3660, 7: 3707, 55: 3710, 56: 3714, 58: 3887, 63: 3934, 10: 4544, 5: 4572, 21: 4588, 57: 4772, 59: 5009, 16: 5133, 49: 5178, 6: 5422, 14: 6044, 44: 6629, 51: 6798, 53: 6906, 29: 7666, 26: 8192, 47: 8281, 4: 8469, 28: 8519, 3: 8720, 27: 8980, 9: 9846, 25: 9972, 15: 10252, 13: 10708, 30: 10738, 2: 10788, 46: 11106, 11: 11116, 45: 11561, 32: 12339, 31: 14675, 1: 14941}}"
