DATETIME,Model,Parameters,CV train scores,CV test scores
27-01-2018_16-45-55,lightgb,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.486, 'num_leaves': 158, 'lambda_l2': 50, 'learning_rate': 0.01, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017, 'max_bin': 255}","[8.940820928647142e-05, 8.932113247006277e-05, 8.932005255579517e-05, 8.93455539081492e-05, 8.927638617842949e-05]","[9.100470945510387e-05, 9.583002604512954e-05, 9.93781297417352e-05, 9.513677397384386e-05, 0.00010023880787448764]","{'column': {54: 'same_start', 12: 'fuzz_partial_token_set_ratio', 20: 'jaccard_distance', 50: 'wc_diff_unique', 52: 'wc_diff_unq_stop', 48: 'wc_diff', 36: 'core1', 61: 'q2_neigh', 60: 'q1_neigh', 38: 'core3', 41: 'q1_q2_kcores_ratio', 35: 'q1_q2_intersect', 37: 'core2', 43: 'q1_q2_kcores_diff_normed', 22: 'euclidean_distance', 62: 'common_neigh', 34: 'q2_freq', 23: 'minkowski_distance', 42: 'q1_q2_kcores_diff', 18: 'cosine_distance', 0: 'is_duplicate', 19: 'cityblock_distance', 64: 'clique_size', 33: 'q1_freq', 17: 'norm_wmd', 40: 'q2_kcores', 7: 'len_word_q2', 24: 'braycurtis_distance', 39: 'q1_kcores', 8: 'common_words', 55: 'char_diff', 56: 'char_diff_unq_stop', 58: 'total_unq_words_stop', 63: 'distinct_neigh', 5: 'len_char_q2', 10: 'fuzz_WRatio', 21: 'canberra_distance', 57: 'total_unique_words', 59: 'char_ratio', 16: 'wmd', 49: 'wc_ratio', 6: 'len_word_q1', 14: 'fuzz_token_set_ratio', 44: 'word_match', 51: 'wc_ratio_unique', 53: 'wc_ratio_unique_stop', 29: 'q1_pr', 47: 'jaccard', 26: 'skew_q2vec', 4: 'len_char_q1', 28: 'kur_q2vec', 3: 'diff_len', 27: 'kur_q1vec', 9: 'fuzz_qratio', 15: 'fuzz_token_sort_ratio', 25: 'skew_q1vec', 30: 'q2_pr', 46: 'tfidf_wm_stops', 13: 'fuzz_partial_token_sort_ratio', 2: 'len_q2', 11: 'fuzz_partial_ratio', 45: 'tfidf_wm', 32: 'q2_hash', 1: 'len_q1', 31: 'q1_hash'}, 'importance': {54: 0, 12: 1, 20: 186, 50: 561, 52: 577, 48: 700, 36: 708, 61: 768, 60: 1150, 38: 1249, 41: 1423, 35: 1466, 37: 1590, 43: 1614, 22: 1696, 62: 1900, 34: 1968, 23: 2016, 42: 2131, 18: 2225, 0: 2473, 19: 2689, 64: 2811, 33: 2828, 17: 2928, 40: 3076, 7: 3578, 24: 3659, 39: 3725, 8: 3803, 55: 3962, 56: 3967, 58: 4127, 63: 4164, 5: 4847, 10: 4911, 21: 5034, 57: 5102, 59: 5502, 16: 5559, 49: 5675, 6: 5834, 14: 6408, 44: 6808, 51: 7122, 53: 7286, 29: 8277, 47: 8790, 26: 8862, 4: 8994, 28: 9109, 3: 9326, 27: 9729, 9: 10622, 15: 10773, 25: 10822, 30: 11194, 46: 11389, 13: 11518, 2: 11571, 11: 11918, 45: 12121, 32: 13250, 1: 16040, 31: 16180}}"
27-01-2018_16-45-55,lightgb,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.49, 'num_leaves': 158, 'lambda_l2': 50, 'learning_rate': 0.01, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017, 'max_bin': 255}","[8.940820928647142e-05, 8.932113247006277e-05, 8.932005255579517e-05, 8.93455539081492e-05, 8.927638617842949e-05, 8.940820928647142e-05, 8.932113247006275e-05, 8.932005255579517e-05, 8.93455539081492e-05, 8.927638617842949e-05]","[9.100470945510387e-05, 9.583002604512954e-05, 9.93781297417352e-05, 9.513677397384386e-05, 0.00010023880787448764, 9.100470945510387e-05, 9.583002604512954e-05, 9.937812974173519e-05, 9.513677397384387e-05, 0.00010023880787448763]","{'column': {54: 'same_start', 12: 'fuzz_partial_token_set_ratio', 20: 'jaccard_distance', 50: 'wc_diff_unique', 52: 'wc_diff_unq_stop', 48: 'wc_diff', 36: 'core1', 61: 'q2_neigh', 60: 'q1_neigh', 38: 'core3', 41: 'q1_q2_kcores_ratio', 35: 'q1_q2_intersect', 37: 'core2', 43: 'q1_q2_kcores_diff_normed', 22: 'euclidean_distance', 62: 'common_neigh', 34: 'q2_freq', 23: 'minkowski_distance', 42: 'q1_q2_kcores_diff', 18: 'cosine_distance', 0: 'is_duplicate', 19: 'cityblock_distance', 64: 'clique_size', 33: 'q1_freq', 17: 'norm_wmd', 40: 'q2_kcores', 7: 'len_word_q2', 24: 'braycurtis_distance', 39: 'q1_kcores', 8: 'common_words', 55: 'char_diff', 56: 'char_diff_unq_stop', 58: 'total_unq_words_stop', 63: 'distinct_neigh', 5: 'len_char_q2', 10: 'fuzz_WRatio', 21: 'canberra_distance', 57: 'total_unique_words', 59: 'char_ratio', 16: 'wmd', 49: 'wc_ratio', 6: 'len_word_q1', 14: 'fuzz_token_set_ratio', 44: 'word_match', 51: 'wc_ratio_unique', 53: 'wc_ratio_unique_stop', 29: 'q1_pr', 47: 'jaccard', 26: 'skew_q2vec', 4: 'len_char_q1', 28: 'kur_q2vec', 3: 'diff_len', 27: 'kur_q1vec', 9: 'fuzz_qratio', 15: 'fuzz_token_sort_ratio', 25: 'skew_q1vec', 30: 'q2_pr', 46: 'tfidf_wm_stops', 13: 'fuzz_partial_token_sort_ratio', 2: 'len_q2', 11: 'fuzz_partial_ratio', 45: 'tfidf_wm', 32: 'q2_hash', 1: 'len_q1', 31: 'q1_hash'}, 'importance': {54: 0, 12: 1, 20: 186, 50: 561, 52: 577, 48: 700, 36: 708, 61: 768, 60: 1150, 38: 1249, 41: 1423, 35: 1466, 37: 1590, 43: 1614, 22: 1696, 62: 1900, 34: 1968, 23: 2016, 42: 2131, 18: 2225, 0: 2473, 19: 2689, 64: 2811, 33: 2828, 17: 2928, 40: 3076, 7: 3578, 24: 3659, 39: 3725, 8: 3803, 55: 3962, 56: 3967, 58: 4127, 63: 4164, 5: 4847, 10: 4911, 21: 5034, 57: 5102, 59: 5502, 16: 5559, 49: 5675, 6: 5834, 14: 6408, 44: 6808, 51: 7122, 53: 7286, 29: 8277, 47: 8790, 26: 8862, 4: 8994, 28: 9109, 3: 9326, 27: 9729, 9: 10622, 15: 10773, 25: 10822, 30: 11194, 46: 11389, 13: 11518, 2: 11571, 11: 11918, 45: 12121, 32: 13250, 1: 16040, 31: 16180}}"
