DATETIME,Model,CV val scores,Mean CV val scores,CV train scores,Mean CV train scores,Parameters,Features importance
28-01-2018_17-52-45,lightgb,[0.1358165402892105],0.1358165402892105,[0.04725931932138565],0.04725931932138565,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.486, 'num_leaves': 140, 'lambda_l2': 2, 'learning_rate': 0.01, 'num_boost_round': 5000, 'early_stopping_rounds': 50, 'max_depth': 25, 'min_data_in_leaf': 15, 'subsample': 1, 'colsample_bytree': 1, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017}","{'column': {11: 'fuzz_partial_token_set_ratio', 19: 'jaccard_distance', 53: 'same_start', 35: 'core1', 36: 'core2', 60: 'q2_neigh', 59: 'q1_neigh', 37: 'core3', 51: 'wc_diff_unq_stop', 49: 'wc_diff_unique', 34: 'q1_q2_intersect', 41: 'q1_q2_kcores_diff', 38: 'q1_kcores', 47: 'wc_diff', 32: 'q1_freq', 6: 'len_word_q2', 61: 'common_neigh', 7: 'common_words', 56: 'total_unique_words', 42: 'q1_q2_kcores_diff_normed', 57: 'total_unq_words_stop', 5: 'len_word_q1', 63: 'clique_size', 66: 'bigram_nostpwrd_coocurence', 33: 'q2_freq', 40: 'q1_q2_kcores_ratio', 39: 'q2_kcores', 52: 'wc_ratio_unique_stop', 70: '3gram_nostpwrd_cooccurence', 21: 'euclidean_distance', 71: '3gram_nostpwrd_distinct', 64: 'bigram_coocurence', 2: 'diff_len', 68: '3gram_cooccurence', 9: 'fuzz_WRatio', 48: 'wc_ratio', 50: 'wc_ratio_unique', 3: 'len_char_q1', 62: 'distinct_neigh', 54: 'char_diff', 4: 'len_char_q2', 16: 'norm_wmd', 69: '3gram_distinct', 55: 'char_diff_unq_stop', 17: 'cosine_distance', 65: 'bigram_distinct', 22: 'minkowski_distance', 67: 'bigram_nostpwrd_distinct', 18: 'cityblock_distance', 13: 'fuzz_token_set_ratio', 43: 'word_match', 23: 'braycurtis_distance', 46: 'jaccard', 58: 'char_ratio', 14: 'fuzz_token_sort_ratio', 1: 'len_q2', 8: 'fuzz_qratio', 12: 'fuzz_partial_token_sort_ratio', 10: 'fuzz_partial_ratio', 0: 'len_q1', 20: 'canberra_distance', 24: 'skew_q1vec', 25: 'skew_q2vec', 27: 'kur_q2vec', 26: 'kur_q1vec', 31: 'q2_hash', 15: 'wmd', 44: 'tfidf_wm', 30: 'q1_hash', 45: 'tfidf_wm_stops', 28: 'q1_pr', 29: 'q2_pr'}, 'importance': {11: 0, 19: 241, 53: 521, 35: 633, 36: 760, 60: 836, 59: 879, 37: 955, 51: 964, 49: 1097, 34: 1305, 41: 1328, 38: 1347, 47: 1373, 32: 1418, 6: 1495, 61: 1578, 7: 1602, 56: 1657, 42: 1714, 57: 1800, 5: 1816, 63: 1869, 66: 1988, 33: 1998, 40: 2057, 39: 2209, 52: 2238, 70: 2304, 21: 2472, 71: 2563, 64: 2584, 2: 2629, 68: 2738, 9: 2738, 48: 2805, 50: 2808, 3: 2866, 62: 2949, 54: 3080, 4: 3116, 16: 3372, 69: 3449, 55: 3471, 17: 3539, 65: 3733, 22: 3870, 67: 3908, 18: 3943, 13: 3975, 43: 4230, 23: 4252, 46: 4635, 58: 4660, 14: 4673, 1: 4838, 8: 4854, 12: 5006, 10: 5063, 0: 5070, 20: 5344, 24: 5755, 25: 5896, 27: 5950, 26: 6024, 31: 6388, 15: 6513, 44: 7010, 30: 7027, 45: 7122, 28: 7307, 29: 7784}}"
28-01-2018_17-53-49,lightgb,"[0.1358165402892105, 0.14419562030393449]",0.1400060802965725,"[0.04725931932138565, 0.053281753166261527]",0.05027053624382359,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.486, 'num_leaves': 140, 'lambda_l2': 2, 'learning_rate': 0.01, 'num_boost_round': 5000, 'early_stopping_rounds': 50, 'max_depth': 25, 'min_data_in_leaf': 15, 'subsample': 1, 'colsample_bytree': 1, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017}","{'column': {11: 'fuzz_partial_token_set_ratio', 19: 'jaccard_distance', 53: 'same_start', 35: 'core1', 59: 'q1_neigh', 36: 'core2', 60: 'q2_neigh', 51: 'wc_diff_unq_stop', 37: 'core3', 49: 'wc_diff_unique', 38: 'q1_kcores', 34: 'q1_q2_intersect', 41: 'q1_q2_kcores_diff', 47: 'wc_diff', 6: 'len_word_q2', 32: 'q1_freq', 7: 'common_words', 63: 'clique_size', 56: 'total_unique_words', 57: 'total_unq_words_stop', 61: 'common_neigh', 42: 'q1_q2_kcores_diff_normed', 66: 'bigram_nostpwrd_coocurence', 5: 'len_word_q1', 40: 'q1_q2_kcores_ratio', 39: 'q2_kcores', 33: 'q2_freq', 71: '3gram_nostpwrd_distinct', 52: 'wc_ratio_unique_stop', 70: '3gram_nostpwrd_cooccurence', 21: 'euclidean_distance', 64: 'bigram_coocurence', 9: 'fuzz_WRatio', 48: 'wc_ratio', 2: 'diff_len', 54: 'char_diff', 68: '3gram_cooccurence', 50: 'wc_ratio_unique', 3: 'len_char_q1', 62: 'distinct_neigh', 55: 'char_diff_unq_stop', 69: '3gram_distinct', 4: 'len_char_q2', 16: 'norm_wmd', 17: 'cosine_distance', 65: 'bigram_distinct', 67: 'bigram_nostpwrd_distinct', 18: 'cityblock_distance', 22: 'minkowski_distance', 23: 'braycurtis_distance', 13: 'fuzz_token_set_ratio', 8: 'fuzz_qratio', 43: 'word_match', 12: 'fuzz_partial_token_sort_ratio', 0: 'len_q1', 58: 'char_ratio', 46: 'jaccard', 1: 'len_q2', 14: 'fuzz_token_sort_ratio', 10: 'fuzz_partial_ratio', 20: 'canberra_distance', 25: 'skew_q2vec', 24: 'skew_q1vec', 26: 'kur_q1vec', 27: 'kur_q2vec', 31: 'q2_hash', 15: 'wmd', 30: 'q1_hash', 45: 'tfidf_wm_stops', 44: 'tfidf_wm', 28: 'q1_pr', 29: 'q2_pr'}, 'importance': {11: 0, 19: 282, 53: 475, 35: 604, 59: 675, 36: 683, 60: 759, 51: 848, 37: 903, 49: 1002, 38: 1157, 34: 1161, 41: 1173, 47: 1190, 6: 1253, 32: 1335, 7: 1409, 63: 1412, 56: 1475, 57: 1491, 61: 1509, 42: 1557, 66: 1584, 5: 1767, 40: 1834, 39: 1867, 33: 1934, 71: 2053, 52: 2057, 70: 2074, 21: 2181, 64: 2199, 9: 2292, 48: 2316, 2: 2422, 54: 2585, 68: 2605, 50: 2619, 3: 2633, 62: 2753, 55: 2826, 69: 2860, 4: 2921, 16: 2943, 17: 2995, 65: 3263, 67: 3298, 18: 3338, 22: 3374, 23: 3704, 13: 3706, 8: 3996, 43: 4043, 12: 4050, 0: 4153, 58: 4186, 46: 4203, 1: 4277, 14: 4324, 10: 4436, 20: 4705, 25: 4859, 24: 4903, 26: 4931, 27: 5253, 31: 5542, 15: 5693, 30: 5980, 45: 6235, 44: 6475, 28: 6511, 29: 6829}}"
28-01-2018_17-54-50,lightgb,"[0.1358165402892105, 0.14419562030393449, 0.14659140983836744]",0.14220119014383747,"[0.04725931932138565, 0.053281753166261527, 0.05325685444000489]",0.05126597564255069,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.486, 'num_leaves': 140, 'lambda_l2': 2, 'learning_rate': 0.01, 'num_boost_round': 5000, 'early_stopping_rounds': 50, 'max_depth': 25, 'min_data_in_leaf': 15, 'subsample': 1, 'colsample_bytree': 1, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017}","{'column': {11: 'fuzz_partial_token_set_ratio', 19: 'jaccard_distance', 53: 'same_start', 35: 'core1', 59: 'q1_neigh', 36: 'core2', 60: 'q2_neigh', 51: 'wc_diff_unq_stop', 37: 'core3', 49: 'wc_diff_unique', 41: 'q1_q2_kcores_diff', 38: 'q1_kcores', 6: 'len_word_q2', 47: 'wc_diff', 32: 'q1_freq', 34: 'q1_q2_intersect', 7: 'common_words', 42: 'q1_q2_kcores_diff_normed', 61: 'common_neigh', 56: 'total_unique_words', 63: 'clique_size', 57: 'total_unq_words_stop', 66: 'bigram_nostpwrd_coocurence', 40: 'q1_q2_kcores_ratio', 5: 'len_word_q1', 33: 'q2_freq', 52: 'wc_ratio_unique_stop', 39: 'q2_kcores', 70: '3gram_nostpwrd_cooccurence', 64: 'bigram_coocurence', 71: '3gram_nostpwrd_distinct', 2: 'diff_len', 21: 'euclidean_distance', 9: 'fuzz_WRatio', 68: '3gram_cooccurence', 48: 'wc_ratio', 54: 'char_diff', 3: 'len_char_q1', 50: 'wc_ratio_unique', 4: 'len_char_q2', 62: 'distinct_neigh', 55: 'char_diff_unq_stop', 16: 'norm_wmd', 69: '3gram_distinct', 17: 'cosine_distance', 65: 'bigram_distinct', 22: 'minkowski_distance', 18: 'cityblock_distance', 13: 'fuzz_token_set_ratio', 67: 'bigram_nostpwrd_distinct', 23: 'braycurtis_distance', 8: 'fuzz_qratio', 14: 'fuzz_token_sort_ratio', 58: 'char_ratio', 43: 'word_match', 12: 'fuzz_partial_token_sort_ratio', 0: 'len_q1', 1: 'len_q2', 46: 'jaccard', 10: 'fuzz_partial_ratio', 20: 'canberra_distance', 24: 'skew_q1vec', 26: 'kur_q1vec', 25: 'skew_q2vec', 27: 'kur_q2vec', 31: 'q2_hash', 15: 'wmd', 45: 'tfidf_wm_stops', 30: 'q1_hash', 44: 'tfidf_wm', 29: 'q2_pr', 28: 'q1_pr'}, 'importance': {11: 0, 19: 257, 53: 382, 35: 614, 59: 637, 36: 639, 60: 721, 51: 904, 37: 929, 49: 1083, 41: 1172, 38: 1175, 6: 1193, 47: 1194, 32: 1229, 34: 1231, 7: 1385, 42: 1433, 61: 1433, 56: 1438, 63: 1604, 57: 1651, 66: 1689, 40: 1726, 5: 1796, 33: 1919, 52: 1949, 39: 1967, 70: 2056, 64: 2174, 71: 2193, 2: 2228, 21: 2233, 9: 2375, 68: 2387, 48: 2435, 54: 2530, 3: 2538, 50: 2624, 4: 2626, 62: 2727, 55: 2735, 16: 2881, 69: 3000, 17: 3158, 65: 3267, 22: 3306, 18: 3417, 13: 3506, 67: 3629, 23: 3661, 8: 3962, 14: 3969, 58: 3981, 43: 3983, 12: 4001, 0: 4013, 1: 4024, 46: 4260, 10: 4479, 20: 4631, 24: 4796, 26: 4993, 25: 5030, 27: 5232, 31: 5322, 15: 5378, 45: 6000, 30: 6066, 44: 6348, 29: 6660, 28: 6691}}"
28-01-2018_17-55-50,lightgb,"[0.1358165402892105, 0.14419562030393449, 0.14659140983836744, 0.14382709349025224]",0.14260766598044117,"[0.04725931932138565, 0.053281753166261527, 0.05325685444000489, 0.0541539573549429]",0.051987971070648745,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.486, 'num_leaves': 140, 'lambda_l2': 2, 'learning_rate': 0.01, 'num_boost_round': 5000, 'early_stopping_rounds': 50, 'max_depth': 25, 'min_data_in_leaf': 15, 'subsample': 1, 'colsample_bytree': 1, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017}","{'column': {11: 'fuzz_partial_token_set_ratio', 19: 'jaccard_distance', 53: 'same_start', 35: 'core1', 36: 'core2', 59: 'q1_neigh', 60: 'q2_neigh', 51: 'wc_diff_unq_stop', 37: 'core3', 49: 'wc_diff_unique', 47: 'wc_diff', 38: 'q1_kcores', 34: 'q1_q2_intersect', 41: 'q1_q2_kcores_diff', 6: 'len_word_q2', 7: 'common_words', 32: 'q1_freq', 61: 'common_neigh', 56: 'total_unique_words', 63: 'clique_size', 42: 'q1_q2_kcores_diff_normed', 57: 'total_unq_words_stop', 5: 'len_word_q1', 66: 'bigram_nostpwrd_coocurence', 40: 'q1_q2_kcores_ratio', 39: 'q2_kcores', 33: 'q2_freq', 52: 'wc_ratio_unique_stop', 70: '3gram_nostpwrd_cooccurence', 21: 'euclidean_distance', 71: '3gram_nostpwrd_distinct', 2: 'diff_len', 64: 'bigram_coocurence', 48: 'wc_ratio', 9: 'fuzz_WRatio', 54: 'char_diff', 50: 'wc_ratio_unique', 3: 'len_char_q1', 68: '3gram_cooccurence', 4: 'len_char_q2', 55: 'char_diff_unq_stop', 62: 'distinct_neigh', 16: 'norm_wmd', 69: '3gram_distinct', 17: 'cosine_distance', 65: 'bigram_distinct', 22: 'minkowski_distance', 67: 'bigram_nostpwrd_distinct', 18: 'cityblock_distance', 23: 'braycurtis_distance', 13: 'fuzz_token_set_ratio', 58: 'char_ratio', 14: 'fuzz_token_sort_ratio', 46: 'jaccard', 43: 'word_match', 0: 'len_q1', 12: 'fuzz_partial_token_sort_ratio', 8: 'fuzz_qratio', 1: 'len_q2', 10: 'fuzz_partial_ratio', 20: 'canberra_distance', 26: 'kur_q1vec', 24: 'skew_q1vec', 25: 'skew_q2vec', 27: 'kur_q2vec', 31: 'q2_hash', 15: 'wmd', 30: 'q1_hash', 45: 'tfidf_wm_stops', 44: 'tfidf_wm', 28: 'q1_pr', 29: 'q2_pr'}, 'importance': {11: 0, 19: 288, 53: 452, 35: 546, 36: 709, 59: 753, 60: 786, 51: 788, 37: 954, 49: 1021, 47: 1142, 38: 1161, 34: 1190, 41: 1201, 6: 1235, 7: 1309, 32: 1359, 61: 1452, 56: 1489, 63: 1516, 42: 1559, 57: 1565, 5: 1613, 66: 1615, 40: 1800, 39: 1823, 33: 1930, 52: 1984, 70: 2036, 21: 2077, 71: 2132, 2: 2161, 64: 2205, 48: 2313, 9: 2321, 54: 2410, 50: 2422, 3: 2471, 68: 2562, 4: 2676, 55: 2676, 62: 2735, 16: 2838, 69: 3005, 17: 3039, 65: 3107, 22: 3315, 67: 3319, 18: 3335, 23: 3668, 13: 3732, 58: 3937, 14: 3964, 46: 4057, 43: 4101, 0: 4156, 12: 4174, 8: 4310, 1: 4326, 10: 4403, 20: 4609, 26: 4666, 24: 4874, 25: 4912, 27: 4992, 31: 5191, 15: 5432, 30: 5658, 45: 6156, 44: 6264, 28: 6310, 29: 6900}}"
28-01-2018_17-56-45,lightgb,"[0.1358165402892105, 0.14419562030393449, 0.14659140983836744, 0.14382709349025224, 0.15138461743642]",0.14436305627163692,"[0.04725931932138565, 0.053281753166261527, 0.05325685444000489, 0.0541539573549429, 0.05898070744111873]",0.05338651834474274,"{'objective': 'binary', 'metric': 'binary_logloss', 'boosting': 'gbdt', 'device': 'cpu', 'feature_fraction': 0.486, 'num_leaves': 140, 'lambda_l2': 2, 'learning_rate': 0.01, 'num_boost_round': 5000, 'early_stopping_rounds': 50, 'max_depth': 25, 'min_data_in_leaf': 15, 'subsample': 1, 'colsample_bytree': 1, 'verbose': 1, 'bagging_fraction_seed': 2017, 'feature_fraction_seed': 2017}","{'column': {11: 'fuzz_partial_token_set_ratio', 19: 'jaccard_distance', 53: 'same_start', 35: 'core1', 36: 'core2', 59: 'q1_neigh', 60: 'q2_neigh', 49: 'wc_diff_unique', 37: 'core3', 51: 'wc_diff_unq_stop', 47: 'wc_diff', 38: 'q1_kcores', 6: 'len_word_q2', 34: 'q1_q2_intersect', 41: 'q1_q2_kcores_diff', 7: 'common_words', 32: 'q1_freq', 56: 'total_unique_words', 61: 'common_neigh', 5: 'len_word_q1', 42: 'q1_q2_kcores_diff_normed', 66: 'bigram_nostpwrd_coocurence', 63: 'clique_size', 57: 'total_unq_words_stop', 40: 'q1_q2_kcores_ratio', 33: 'q2_freq', 52: 'wc_ratio_unique_stop', 39: 'q2_kcores', 71: '3gram_nostpwrd_distinct', 70: '3gram_nostpwrd_cooccurence', 2: 'diff_len', 21: 'euclidean_distance', 48: 'wc_ratio', 9: 'fuzz_WRatio', 54: 'char_diff', 3: 'len_char_q1', 50: 'wc_ratio_unique', 64: 'bigram_coocurence', 68: '3gram_cooccurence', 4: 'len_char_q2', 55: 'char_diff_unq_stop', 62: 'distinct_neigh', 16: 'norm_wmd', 69: '3gram_distinct', 65: 'bigram_distinct', 17: 'cosine_distance', 23: 'braycurtis_distance', 18: 'cityblock_distance', 67: 'bigram_nostpwrd_distinct', 22: 'minkowski_distance', 13: 'fuzz_token_set_ratio', 8: 'fuzz_qratio', 58: 'char_ratio', 12: 'fuzz_partial_token_sort_ratio', 14: 'fuzz_token_sort_ratio', 43: 'word_match', 0: 'len_q1', 46: 'jaccard', 10: 'fuzz_partial_ratio', 1: 'len_q2', 20: 'canberra_distance', 25: 'skew_q2vec', 24: 'skew_q1vec', 26: 'kur_q1vec', 27: 'kur_q2vec', 31: 'q2_hash', 15: 'wmd', 30: 'q1_hash', 45: 'tfidf_wm_stops', 44: 'tfidf_wm', 28: 'q1_pr', 29: 'q2_pr'}, 'importance': {11: 0, 19: 218, 53: 402, 35: 536, 36: 619, 59: 652, 60: 694, 49: 788, 37: 802, 51: 920, 47: 983, 38: 1001, 6: 1062, 34: 1161, 41: 1166, 7: 1195, 32: 1262, 56: 1270, 61: 1321, 5: 1368, 42: 1392, 66: 1401, 63: 1435, 57: 1500, 40: 1621, 33: 1662, 52: 1670, 39: 1721, 71: 1809, 70: 1856, 2: 1866, 21: 1926, 48: 2011, 9: 2016, 54: 2030, 3: 2083, 50: 2142, 64: 2152, 68: 2200, 4: 2293, 55: 2297, 62: 2458, 16: 2485, 69: 2557, 65: 2758, 17: 2765, 23: 2966, 18: 2998, 67: 3009, 22: 3062, 13: 3142, 8: 3238, 58: 3279, 12: 3430, 14: 3617, 43: 3632, 0: 3660, 46: 3705, 10: 3749, 1: 3794, 20: 3927, 25: 4028, 24: 4241, 26: 4306, 27: 4389, 31: 4504, 15: 4742, 30: 4799, 45: 5184, 44: 5302, 28: 5447, 29: 6074}}"
